name,state,city,address,latitude,longitude,type,station_id,type_label
Iocl Rajokri Station,Delhi,New Delhi,"NH 8 Exit 4, Samalka, New Delhi, Delhi 110037",28.5248,77.101,12,iocl rajokri station_28.5248_77.101,DC_fast
Iocl Nehru Nagar Station,Delhi,New Delhi,"10-C, Nehru Nagar, Ring Rd, near Lajpat Nagar, New Delhi, Delhi 110065",28.5682,77.2531,12,iocl nehru nagar station_28.5682_77.2531,DC_fast
Iocl Mathura Road,Delhi,New Delhi,"No A12, Mathura Rd, near Telephone Exchange, Friends Colony East, New Delhi, Delhi 110025",28.566,77.2664,12,iocl mathura road_28.566_77.2664,DC_fast
Iocl Dhaula Kuan Charging Station,Delhi,New Delhi,"Ring Rd, opposite Gurudwara, Smriti Vatika, North West Moti Bagh, New Delhi, Delhi 110021",28.5874,77.1713,12,iocl dhaula kuan charging station_28.5874_77.1713,DC_fast
Hp Pitam Pura Dc Charging Station,Delhi,New Delhi,"HP PETROL PUMP - AUTO CARE CENTRE PITAM PURA, Pitampura, Delhi, India",28.6962,77.155,12,hp pitam pura dc charging station_28.6962_77.155,DC_fast
Electriva Test Station,Delhi,New Delhi,"3409/1, 3rd Floor, Desh Bandhu Gupta Rd, Karol Bagh, New Delhi-110005",28.6539,77.1905,12,electriva test station_28.6539_77.1905,DC_fast
Athergrid Cp,Haryana,Delhi,"A 221 road no 6, D Block, Connaught Place, New Delhi, 110037",28.633714,77.221904,6,athergrid cp_28.63371_77.2219,AC_slow_moderate
Oyo Townhouse 118,Delhi,Delhi,"20, Gagan Vihar, Krishna Nagar ",28.646011,77.296796,6,oyo townhouse 118_28.64601_77.2968,AC_slow_moderate
Oyo Townhouse 381,Delhi,Delhi,"D/59, New Seemapuri Rd, Pocket E, Dilshad Colony New Simapuri, Dilshad Garden",28.68902,77.323102,6,oyo townhouse 381_28.68902_77.3231,AC_slow_moderate
Oyo Townhouse 278 Rohini,Kerala,Delhi,"6-A, Pocket 27, Sector-24, Rohini, Delhi, 110085, New Delhi, Delhi",28.7328878,77.0841225,6,oyo townhouse 278 rohini_28.73289_77.08412,AC_slow_moderate
"Ather Space, Lajpat Nagar",Kerala,Delhi,"A-32, Feroze Gandhi Rd, Lajpat Nagar II, Delhi ",28.5705131,77.2368888,6,"ather space, lajpat nagar_28.57051_77.23689",AC_slow_moderate
Reliance Digital Kamlanagar,Jharkhand,Delhi,"37 Bunglow Road Kamla Nagar, opp. Amitabh Guest House, Civil Lines, New Delhi",28.6839369,77.2022968,6,reliance digital kamlanagar_28.68394_77.2023,AC_slow_moderate
Food Sixteen Restaurant,Bihar,Delhi,"Metro Station, A-16, Grand Trunk Rd, near Adarsh Nagar, Indira Nagar, Azadpur, New Delhi",28.7169145,77.168538,6,food sixteen restaurant_28.71691_77.16854,AC_slow_moderate
Ather Space - Gujranwala Town,Tamil Nadu,Delhi,"A 11, GT Karnal Rd, near Vinayak Hospital, Block A, Gujranwala Town, Delhi, 110009",28.6990084,77.1833274,6,ather space - gujranwala town_28.69901_77.18333,AC_slow_moderate
Throttle Shrottle Moto Cafe,Delhi,Gurugram,"Faridabad - Gurgaon Rd, Baliawas, Bandhwari, Haryana 122102",28.428213,77.1405458,6,throttle shrottle moto cafe_28.42821_77.14055,AC_slow_moderate
Ather Space - Janakpuri,Uttar Pradesh,Delhi," Ground floor, BF-1, Janakpuri, Jail Road, New Delhi 110058",28.6255909,77.1009332,6,ather space - janakpuri_28.62559_77.10093,AC_slow_moderate
Loom Solar Warehouse,Delhi,Faridabad,"Plot No. 21, 1, Mathura Rd, Pocket 3, Rajiv Enclave, Sector 6, Faridabad, Haryana 121006",28.3520623,77.3007942,6,loom solar warehouse_28.35206_77.30079,AC_slow_moderate
Mealodroma,Delhi,Delhi,"A6, 110027, Najafgarh Rd, Vishal Enclave, Rajouri Garden, Delhi, 110027",28.6486023,77.1147014,6,mealodroma_28.6486_77.1147,AC_slow_moderate
"Iocl - Coco Niti Marg, Chanakyapuri",Delhi,Delhi,"Niti Marg, ChanakyaPuri, New Delhi-110021",28.599629,77.195806,7,"iocl - coco niti marg, chanakyapuri_28.59963_77.19581",AC_slow_moderate
"Iocl Hundred Percent Filling & Service Station, Dwarka",Delhi,Delhi,"Sector 9, Dwarka, New Delhi, Delhi 110073",28.578641,77.05962,7,"iocl hundred percent filling & service station, dwarka_28.57864_77.05962",AC_slow_moderate
"Iocl - Citi Fuels, Virender Nagar",Delhi,Delhi,OPP.-VIRENDER NAGAR NEAR BHARATI COLLEGE NEW DELHI,28.622486,77.09547,7,"iocl - citi fuels, virender nagar_28.62249_77.09547",AC_slow_moderate
"Iocl - Gay Service Station, Azadpur",Delhi,Delhi,"Near Azadpur, New Delhi,110033",28.703312,77.181109,7,"iocl - gay service station, azadpur_28.70331_77.18111",AC_slow_moderate
"Ardee Mall, Sec 52 Gurgaon",Delhi,Gurgaon,"Ardee City Road, Sector 52, Gurgaon-122022",28.444672,77.08082,7,"ardee mall, sec 52 gurgaon_28.44467_77.08082",AC_slow_moderate
"Iocl - Ruchika Service Station, Mayur Vihar",Delhi,Delhi,"KONDLI GHARAOLI,  MAYUR VIHAR PH-III NEW DELHI-110096",28.6034988,77.3354221,7,"iocl - ruchika service station, mayur vihar_28.6035_77.33542",AC_slow_moderate
"Sagar Motors, Dilshad Garden",Delhi,Delhi,"No ZB/43 487 & ZB, 44 487, Dilshad Garden, New Delhi, Delhi 110095",28.676246,77.31768,7,"sagar motors, dilshad garden_28.67625_77.31768",AC_slow_moderate
